epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.507,2.44014,3.63716,2.0852,0.80435,0.13555,0.11891,0.05115,2.13332,3.50302,1.99438,0.003,0.003,0.073
2,59.5744,2.21382,3.34008,1.9299,0.11164,0.24165,0.13789,0.05862,2.27188,10.5383,2.08266,0.00625496,0.00625496,0.0429216
3,68.8927,2.13731,2.96608,1.84519,0.40303,0.31149,0.13908,0.06361,2.24295,6.87829,1.97936,0.00942742,0.00942742,0.0127608
4,77.5247,2.10174,2.69434,1.83233,0.33122,0.43433,0.14137,0.06183,2.20935,8.57643,1.97746,0.00962875,0.00962875,0.00962875
5,86.7899,2.12357,2.55182,1.82207,0.48703,0.22648,0.14921,0.06543,2.35074,9.96728,2.0855,0.009505,0.009505,0.009505
6,95.2234,2.13532,2.47365,1.80168,0.4375,0.30942,0.1091,0.04753,2.27573,12.9537,2.00388,0.00938125,0.00938125,0.00938125
7,104.003,2.05134,2.35425,1.75649,0.34694,0.27581,0.12784,0.05316,2.27607,7.87583,2.03199,0.0092575,0.0092575,0.0092575
8,112.046,2.02805,2.37431,1.80084,0.43339,0.17922,0.19023,0.08233,2.17546,3.31977,2.09306,0.00913375,0.00913375,0.00913375
9,120.785,1.99414,2.25293,1.75774,0.28777,0.28616,0.23688,0.10755,2.02909,3.16776,1.93932,0.00901,0.00901,0.00901
10,130.204,2.00185,2.23933,1.77154,0.46344,0.31041,0.27562,0.11397,2.05789,2.57996,1.97594,0.00888625,0.00888625,0.00888625
11,138.492,1.93619,2.17167,1.71753,0.5045,0.25323,0.29923,0.14264,2.01688,2.54347,1.92093,0.0087625,0.0087625,0.0087625
12,147.814,1.95176,2.12216,1.71873,0.47531,0.30701,0.27286,0.14646,1.9492,2.413,1.84726,0.00863875,0.00863875,0.00863875
13,155.031,1.90165,2.09163,1.68903,0.45082,0.32218,0.26471,0.14496,1.97458,2.45396,1.87476,0.008515,0.008515,0.008515
14,164.636,1.90396,2.0862,1.71951,0.45687,0.39078,0.26639,0.14054,1.9915,2.50122,1.86926,0.00839125,0.00839125,0.00839125
15,172.941,1.87461,2.07127,1.68634,0.45603,0.40525,0.27918,0.14714,1.98862,2.31101,1.89118,0.0082675,0.0082675,0.0082675
16,181.453,1.87702,2.0793,1.71384,0.5249,0.35926,0.30624,0.15619,1.97846,2.27908,1.8868,0.00814375,0.00814375,0.00814375
17,188.114,1.87217,2.04956,1.68398,0.3981,0.36589,0.30137,0.15719,1.96127,2.32547,1.85414,0.00802,0.00802,0.00802
18,197.027,1.83802,2.00808,1.65476,0.40991,0.39811,0.35643,0.17851,1.93563,2.22834,1.88662,0.00789625,0.00789625,0.00789625
19,204.644,1.85488,2.02317,1.66734,0.59205,0.35678,0.36434,0.18452,1.92542,2.20027,1.87888,0.0077725,0.0077725,0.0077725
20,212.625,1.85492,1.9942,1.6705,0.61839,0.30055,0.34002,0.18178,1.90369,2.20693,1.87637,0.00764875,0.00764875,0.00764875
21,219.642,1.85495,1.96447,1.68266,0.39166,0.39324,0.32959,0.16654,1.93684,2.23005,1.87546,0.007525,0.007525,0.007525
