epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.695,1.51927,2.17754,1.2207,0.41293,0.27221,0.2545,0.1442,1.39741,1.31959,1.13607,0.00332444,0.00332444,0.07008
2,245.046,1.40448,1.38448,1.15959,0.38143,0.37246,0.32663,0.17713,1.35964,1.26144,1.12248,0.00599866,0.00599866,0.0394209
3,351.854,1.41233,1.31692,1.16796,0.38014,0.37827,0.33097,0.18343,1.3758,1.33193,1.13582,0.00801287,0.00801287,0.00810176
4,454.228,1.3845,1.24022,1.1665,0.48458,0.32542,0.33206,0.18505,1.38659,1.20002,1.16259,0.00703,0.00703,0.00703
5,557.713,1.31112,1.12838,1.13921,0.46346,0.42322,0.39807,0.21801,1.3768,1.10752,1.14521,0.00604,0.00604,0.00604
6,662.441,1.2572,1.04615,1.11144,0.52217,0.45438,0.44114,0.25076,1.32223,1.05123,1.11755,0.00505,0.00505,0.00505
7,767.247,1.20157,0.95703,1.08686,0.56911,0.50464,0.50889,0.2905,1.29858,1.02637,1.1082,0.00406,0.00406,0.00406
8,870.368,1.16407,0.90257,1.069,0.67214,0.48053,0.54415,0.32411,1.24153,0.97536,1.08459,0.00307,0.00307,0.00307
9,975.251,1.11092,0.84649,1.04664,0.64076,0.53732,0.58239,0.34655,1.20306,0.94376,1.05965,0.00208,0.00208,0.00208
10,1080.36,1.06182,0.79632,1.02615,0.68661,0.55797,0.60785,0.37104,1.17017,0.87406,1.04969,0.00109,0.00109,0.00109
