epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4788,3.95612,4.78785,4.27959,0.00013,0.01136,1e-05,0,3.80691,4.73635,4.15541,0.003,0.003,0.073
2,45.6536,3.92027,4.74783,4.26603,0.00016,0.01136,2e-05,0,3.80853,4.71702,4.14685,0.00625496,0.00625496,0.0429216
3,55.8964,3.92556,4.71229,4.22518,0.00013,0.01136,1e-05,0,3.80904,4.70441,4.14216,0.00942742,0.00942742,0.0127608
4,64.5592,3.92057,4.66595,4.20361,0.001,0.01136,9e-05,2e-05,3.81028,4.69941,4.14187,0.00962875,0.00962875,0.00962875
5,74.4861,3.8961,4.58598,4.17851,7e-05,0.0021,0,0,3.80884,4.69373,4.14224,0.009505,0.009505,0.009505
6,83.7568,3.90141,4.4914,4.11119,7e-05,0.0021,0,0,3.80779,4.68822,4.14696,0.00938125,0.00938125,0.00938125
7,92.7445,3.77188,4.31211,4.04275,7e-05,0.0021,0,0,3.80245,4.68631,4.15663,0.0092575,0.0092575,0.0092575
8,103.034,3.69219,4.19483,3.97393,7e-05,0.0021,0,0,3.79559,4.68856,4.18663,0.00913375,0.00913375,0.00913375
9,110.26,3.53599,4.0558,3.89053,7e-05,0.0021,0,0,3.79482,4.68864,4.19367,0.00901,0.00901,0.00901
10,121.227,3.58513,3.94614,3.78917,7e-05,0.0021,0,0,3.74437,4.67755,4.14586,0.00888625,0.00888625,0.00888625
11,130.176,3.51453,3.83133,3.67377,7e-05,0.0021,0,0,3.60667,4.65002,4.05077,0.0087625,0.0087625,0.0087625
12,139.33,3.43253,3.74859,3.59465,0.00027,0.00492,0.00046,7e-05,3.3801,4.53452,3.8785,0.00863875,0.00863875,0.00863875
13,149.706,3.35487,3.68538,3.51035,0.00224,0.07096,0.00231,0.00053,3.18532,4.20484,3.60337,0.008515,0.008515,0.008515
14,158.099,3.39436,3.6756,3.46006,0.58867,0.01187,0.00395,0.00077,3.06222,4.00809,3.53583,0.00839125,0.00839125,0.00839125
15,168.756,3.30652,3.65953,3.44391,0.24333,0.01083,0.0049,0.00113,3.042,3.95676,3.40307,0.0082675,0.0082675,0.0082675
16,180.373,3.24084,3.61343,3.38277,0.01542,0.14252,0.0073,0.00228,3.12938,4.18249,3.72771,0.00814375,0.00814375,0.00814375
17,189.296,3.22225,3.56434,3.29096,0.45617,0.01753,0.00278,0.00058,3.35856,4.18736,3.94815,0.00802,0.00802,0.00802
18,199.511,3.17281,3.50382,3.23233,0.56736,0.07172,0.00719,0.00161,3.0966,4.18216,3.47854,0.00789625,0.00789625,0.00789625
19,208.643,3.13133,3.54854,3.21456,0.57568,0.05071,0.00719,0.00157,3.19807,5.56842,3.59531,0.0077725,0.0077725,0.0077725
20,217.465,3.11919,3.45886,3.17733,0.56609,0.05394,0.00417,0.00103,3.34397,4.9236,3.76699,0.00764875,0.00764875,0.00764875
21,227.202,3.013,3.44912,3.15266,0.46065,0.04594,0.01041,0.0024,2.99816,4.15895,3.30141,0.007525,0.007525,0.007525
22,235.203,2.97841,3.38619,3.10746,0.6842,0.06283,0.01368,0.00368,2.92158,3.98177,3.26262,0.00740125,0.00740125,0.00740125
23,245.718,2.93784,3.29527,3.03526,0.51647,0.03046,0.01796,0.00527,2.85281,5.0927,3.22786,0.0072775,0.0072775,0.0072775
24,256.308,2.94465,3.3064,3.05767,0.36815,0.05814,0.02715,0.00796,2.81154,3.81552,3.11472,0.00715375,0.00715375,0.00715375
25,264.217,2.85635,3.26427,3.02026,0.25611,0.06596,0.0291,0.00707,2.8889,3.7363,3.17546,0.00703,0.00703,0.00703
26,274.27,2.82538,3.26492,3.00179,0.69847,0.02154,0.01255,0.00372,3.13,4.07261,3.53708,0.00690625,0.00690625,0.00690625
27,283.454,2.82768,3.2205,2.9664,0.19101,0.08895,0.02012,0.0044,2.92233,4.23252,3.29697,0.0067825,0.0067825,0.0067825
28,292.972,2.81873,3.26451,2.95797,0.38341,0.04278,0.02011,0.00588,2.76432,3.93929,3.1362,0.00665875,0.00665875,0.00665875
29,303.019,2.79907,3.14466,2.87231,0.26614,0.06859,0.0255,0.00852,2.72404,3.88629,3.11384,0.006535,0.006535,0.006535
30,311.138,2.746,3.12873,2.85051,0.27881,0.11998,0.03533,0.01128,2.60602,4.13773,2.92857,0.00641125,0.00641125,0.00641125
31,320.831,2.77903,3.13707,2.86497,0.38748,0.0717,0.02516,0.00712,2.7952,3.64399,3.08958,0.0062875,0.0062875,0.0062875
32,329.982,2.72042,3.1443,2.89695,0.29136,0.06222,0.02898,0.00968,2.63347,3.62982,2.95109,0.00616375,0.00616375,0.00616375
33,339.747,2.66798,3.03736,2.78566,0.37733,0.1353,0.04283,0.01236,2.66076,3.96882,2.92144,0.00604,0.00604,0.00604
34,349.693,2.64454,3.06333,2.81626,0.28564,0.07473,0.04691,0.01349,2.57521,3.30788,2.83658,0.00591625,0.00591625,0.00591625
35,357.725,2.67123,2.97988,2.76891,0.41964,0.05966,0.04081,0.01368,2.52345,3.42361,2.85021,0.0057925,0.0057925,0.0057925
36,368.298,2.68474,3.03159,2.76082,0.45331,0.06881,0.09056,0.02847,2.52116,3.46627,2.83661,0.00566875,0.00566875,0.00566875
37,378.814,2.63142,2.99585,2.78781,0.40882,0.08268,0.07579,0.02,2.57908,3.54887,2.89478,0.005545,0.005545,0.005545
38,387.523,2.62294,3.00762,2.76049,0.41568,0.07552,0.04446,0.01349,2.51611,3.26018,2.85749,0.00542125,0.00542125,0.00542125
39,398.047,2.57413,2.91565,2.69383,0.39936,0.08156,0.04629,0.01626,2.58813,3.18318,2.89813,0.0052975,0.0052975,0.0052975
40,409.925,2.57659,2.93699,2.74267,0.41161,0.07672,0.06172,0.02285,2.46178,3.08599,2.75476,0.00517375,0.00517375,0.00517375
41,418.116,2.51382,2.86695,2.68589,0.52188,0.06562,0.04505,0.01605,2.65812,3.30209,2.9232,0.00505,0.00505,0.00505
42,428.419,2.54064,2.91453,2.71008,0.51687,0.06137,0.03891,0.01179,2.77429,3.3486,3.01173,0.00492625,0.00492625,0.00492625
43,438.498,2.52535,2.81118,2.62592,0.52326,0.08434,0.06677,0.02223,2.40403,2.98821,2.71117,0.0048025,0.0048025,0.0048025
44,446.337,2.55198,2.85221,2.67578,0.53828,0.07207,0.06759,0.02056,2.49231,3.10796,2.78244,0.00467875,0.00467875,0.00467875
45,457.357,2.5332,2.92224,2.68455,0.53647,0.07512,0.08011,0.02528,2.47574,3.07732,2.75365,0.004555,0.004555,0.004555
46,466.178,2.52078,2.90132,2.66724,0.539,0.09808,0.06841,0.02418,2.43427,3.06846,2.74792,0.00443125,0.00443125,0.00443125
47,475.892,2.49544,2.81728,2.61434,0.57854,0.0856,0.05845,0.02038,2.48851,3.07278,2.74779,0.0043075,0.0043075,0.0043075
48,486.413,2.50783,2.79164,2.64504,0.53309,0.07627,0.07064,0.02668,2.38894,2.93792,2.65946,0.00418375,0.00418375,0.00418375
49,494.369,2.47543,2.77769,2.62528,0.55728,0.08005,0.07067,0.02739,2.41092,2.97446,2.67737,0.00406,0.00406,0.00406
50,504.524,2.44478,2.83568,2.65056,0.52187,0.08085,0.06356,0.02486,2.43849,3.00858,2.71722,0.00393625,0.00393625,0.00393625
51,515.507,2.40643,2.80657,2.60384,0.63282,0.09683,0.06968,0.02523,2.41544,2.97097,2.72011,0.0038125,0.0038125,0.0038125
52,523.893,2.40528,2.7293,2.56192,0.6311,0.08703,0.06626,0.02219,2.41664,2.95304,2.70498,0.00368875,0.00368875,0.00368875
53,535.328,2.36593,2.68173,2.54996,0.60379,0.1336,0.07562,0.02244,2.37467,2.9938,2.66908,0.003565,0.003565,0.003565
54,545.34,2.4059,2.69329,2.55301,0.61864,0.13883,0.07506,0.02355,2.39077,3.02309,2.66817,0.00344125,0.00344125,0.00344125
55,553.781,2.38212,2.67949,2.53505,0.65921,0.08826,0.08485,0.02766,2.37403,2.93058,2.62781,0.0033175,0.0033175,0.0033175
56,564.014,2.4018,2.6818,2.55355,0.62919,0.11362,0.08193,0.02726,2.39879,2.93285,2.67068,0.00319375,0.00319375,0.00319375
57,572.696,2.39133,2.68363,2.52058,0.63634,0.10674,0.06671,0.02494,2.37731,2.89548,2.63869,0.00307,0.00307,0.00307
